foodName,carbohydrates,protein,fat
调制乳(全脂，伊利舒化奶),5.0,3.5,3.8
调制乳（全脂，伊利早餐 奶麦香味),7.6,2.9,3.2
调制乳（低脂，强化锌、钙， 帕玛拉特）,5.0,3.0,3.1
调制乳（低脂，澳大利亚 德运高钙低脂奶),7.1,3.5,1.1
调制乳（低脂，伊利低脂 型舒化奶）,4.6,3.4,1.5
调制乳（低脂，伊利高钙 低脂奶）,5.5,3.2,1.3
调制乳（脱脂，部分复原乳， 澳大利亚德运高钙脱脂奶）,6.2,3.6,0.3
调制乳(脱脂，伊利脱脂奶),4.5,3.3,0.3
鲜牛奶（代表值，全脂）,5.1,3.4,3.7
"鲜牛奶(全脂,光明鲜牛奶)",4.5,3.4,3.5
鲜牛奶（全脂，辉山鲜博 士鲜牛奶）,4.1,3.6,4.3
"鲜牛奶(全脂,完达山鲜牛乳)",4.6,3.6,3.7
鲜牛奶（全脂，西域春牌 全脂巴氏杀菌乳）,6.3,2.5,3.1
鲜牛奶（全脂，现代牧场 鲜牛奶),4.5,3.4,3.6
鲜牛奶（全脂，新希望千 岛湖牧场鲜牛奶),6.7,3.6,3.9
鲜牛奶(全脂，一鸣鲜牛奶),5.0,3.5,3.6
羊乳,5.4,1.5,3.5
人乳,7.4,1.3,3.4
人乳（初乳，1～7天),6.2,2.2,3.8
人乳 (过渡乳，7～14天),7.0,2.2,4.0
人乳（成熟乳）,6.5,1.2,4.4
鲜驴奶,6.5,0.4,0.6
鲜驴奶 (冻),7.0,0.5,1.2
鲜驴奶 (花麒牌，冻),6.5,0.8,1.1
鲜驼奶,6.5,3.7,3.5
鲜驼奶 (冻),9.9,3.6,3.5
驼奶（旺源牌，易拉罐）,6.0,3.9,4.6
菜籽油[青油],0.0,Tr,99.9
茶油,0.0,Tr,99.9
大麻油 [粟米油],0.0,Tr,99.9
豆油,0.0,Tr,99.9
红花油,0.0,Tr,99.9
胡麻油,0.0,-,100.0
花生油,0.0,Tr,99.9
混合油 (菜+棕),0.1,-,99.9
葵花子油,0.0,Tr,99.9
辣椒油,0.0,,100.0
麻子籽,,,
麦胚油,0.0,Tr,99.9
棉籽油,0.1,Tr,99.8
色拉油,0.0,Tr,99.8
椰子油,0.0,Tr,99.9
玉米油,0.5,Tr,99.2
芝麻油[香油],0.2,Tr,99.7
棕榈油,0.0,,100.0
橄榄油,0.0,Tr,99.9
鸽,1.7,16.5,14.2
鹤鹑,0.2,20.2,3.1
乳鸽,0.0,11.3,34.1
乳鸽 (红烧),0.0,16.9,20.8
面条（富强粉，切面）,60.7,8.9,0.4
面条（富强粉，煮）,22.8,3.9,0.4
花卷,45.6,6.4,1.0
空锅饼,60.9,8.6,0.2
烙饼（标准粉）,52.9,7.5,2.3
馒头 (代表值）,47.0,7.0,1.1
馒头 (标准粉),49.8,7.8,1.0
烧饼（加糖）,62.7,8.0,2.1
油饼,42.4,7.9,22.9
油条,51.0,6.9,17.6
花卷 (加牛奶),58.9,6.5,3.2
馒头（富强粉）,50.9,7.1,1.3
水面筋,12.3,23.5,0.1
油面筋,40.4,26.9,25.1
面筋（肉馅）,0.1,16.2,33.2
蜂蛹［蜂胚、蜂仔］,2.3,10.6,5.4
蜂蛹 (油蜂，干),9.0,20.0,61.4
蜂蛹 (大黄),6.6,12.1,3.8
牛蛙,3.4,15.7,0.5
鸡内金,3.8,83.1,1.3
乌梢蛇,0.9,49.4,2.0
团螺,6.2,70.2,6.6
阿胶,9.5,73.0,5.8
珍珠,2.4,2.0,0.1
牛黄,38.4,48.0,0.9
马鹿胎 (粉),24.4,36.8,10.8
蛤,0.0,70.8,11.0
燕窝,21.7,57.9,0.2
蜂胶液,,0.2,-
蛤蟆油,24.6,31.4,1.9
龟甲,2.6,26.4,2.0
刺猬皮,0.8,69.2,8.6
蜂王浆,二,14.6,-
裙边 (干),0.0,81.6,1.2
鱼肚 (干),0.0,75.6,1.0
鱼唇 (干),0.0,83.1,1.6
扁豆 (干),61.9,25.3,0.4
扁豆 (干，白),55.6,19.0,1.3
眉豆（干）[饭虹豆],65.6,18.6,1.1
豇豆 (干),65.6,19.3,1.2
豇豆（干，紫）,65.8,18.9,0.4
豇豆 (煮),24.0,9.5,0.6
豌豆（干),65.8,20.3,1.1
豌豆 (花),63.6,21.6,1.0
豌豆 (煮),19.2,8.9,0.3
鹰嘴豆[桃豆],60.1,21.2,4.2
荆豆(干),28.5,43.6,14.3
木豆（干）[扭豆，豆蓉】,58.8,19.8,4.5
白米虾[水虾米],2.0,17.3,0.4
斑节对虾[草虾],5.4,18.6,0.8
长毛对虾［大虾、白露虾］,3.0,18.5,0.4
蚓［刺、大头虾］,0.0,16.0,1.4
东方对虾【中国对虾],1.6,18.3,0.5
对虾,2.8,18.6,0.8
海虾,1.5,16.8,0.6
河虾,0.0,16.4,2.4
基围虾,3.9,18.2,1.4
江虾[沼虾],9.3,10.3,0.9
龙虾,1.0,18.9,1.1
明虾,3.8,13.4,1.8
塘水虾[草虾],0.0,21.2,1.2
虾虎,4.8,11.6,1.7
螯虾,0.0,14.8,3.8
北极虾,15.4,14.9,1.2
九节虾（鲜）,0.8,21.4,0.1
口虾站[皮皮虾],1.8,14.8,1.7
罗氏沼虾,Tr,20.6,0.8
南美白对虾,,19.4,0.2 0.8
青虾,0.2,23.8,0.4
琼海虾,0.9,8.9,1.8
虾米[海米、虾仁],0.0,43.7,2.6
虾脑酱,0.0,15.2,4.3
虾酱,0.0,10.8,7.6
虾仁 (红),0.0,10.4,0.7
虾皮,2.5,30.7,2.2
虾仁,27.7,20.8,0.6
虾仁肉丸,16.7,4.6,7.4
茄子 (代表值）,,1.1,0.2 4.9
茄子 (绿皮),5.2,1.0,0.6
茄子（圆）,6.7,1.6,0.2
番茄 (整个，罐头),2.6,2.0,0.6
奶柿子[西红柿】,3.2,0.6,0.1
辣椒 (红，尖，干),52.7,15.0,12.0
辣椒（红，小）,8.9,1.3,0.4
甜椒（脱水）,76.6,7.6,0.4
葫子,6.8,0.7,0.1
茄子 (白皮、长),5.5,1.3,0.1
茄子（紫皮、长）,4.8,1.1,0.1
茄子 (紫皮、圆),5.3,0.8,0.2
香瓜茄,5.5,0.6,Tr
番茄[西红柿],3.3,0.9,0.2
樱桃番茄[小西红柿],5.8,1.0,0.2
辣椒(小红尖辣椒）,17.7,4.1,0.4
辣椒（小红尖辣椒、干）,57.4 ce,15.4,D 12.0
辣椒 (青、尖),,0.8 0.3,5.2
甜椒[灯笼椒、柿子椒】,,1.0 0.2,3.8
彩椒,,1.3 0.2,6.4
秋葵［黄秋葵、羊角豆】,1.8,1.8 0.2,6.2
白瓜,0.9,0.9 一,2.6
菜瓜[生瓜，白瓜],0.4,0.6 0.2,3.9
方瓜,0.6,0.8 Tr,3.1
佛手瓜[棒瓜，菜肴梨］,1.2,1.2 0.1,3.8
葫芦[长瓜，蒲瓜，弧瓜］,0.8,0.7 0.1,3.5
葫芦条（干）,18.1,4.3 1.8,64.6
黄瓜（鲜）[胡瓜],0.5,0.8 0.2,2.9
节瓜[毛瓜],1.2,0.6 0.1,3.4
金瓜,0.7,0.5 0.1,3.4
金丝瓜[裸瓣瓜],0.8,3.3 2.0,2.2
苦瓜（鲜）[凉瓜，癫瓜],1.4,1.0 0.1,4.9
南瓜（鲜）[倭瓜，番瓜],0.8,0.7 0.1,5.3
南瓜粉,11.5,7.1,2.1 79.6
蛇瓜［蛇豆，大豆角］,2.0,1.5,0.1 3.9
笋瓜[生瓜],0.7,0.5,一 3.1
西葫芦,0.6,0.8,0.2 3.8
面西胡瓜,,0.8,Tr 1.8
小西胡瓜,,0.7 0.1,4.8
冬瓜,,0.3,0.2 2.4
飞碟瓜,,1.0 0.1,4.4
黄金西葫芦,3.6,1.8,0.1
黄茎瓜[小南瓜],2.0,1.2,0.9
迷你黄瓜[荷兰乳黄瓜],2.5,1.0,0.2
秋黄瓜[旱黄瓜],2.5,0.9,0.2
南瓜 (栗面）,8.8,1.4,0.1
丝瓜,4.0,1.3,0.2
酸奶(代表值，全脂),2.6,363,2.8
酸奶,1.9,295,3.2
酸奶 (高蛋白),7.3,3.2,2.2
酸奶（脱脂）,10.0,3.3,0.4
酸奶(低脂),9.0,2.7,1.9
酸奶 (果料),10.4,3.1,1.4
酸奶(橘味，脱脂),8.2,3.2,0.3
酸奶（调味）,11.9,3.0,3.2
酸奶 (果粒) 酸奶（全脂，多美鲜全脂果,14.6,3.3,2.9
粒，草莓果粒/覆盆子果粒、 桃果粒/西番莲汁/菠萝果粒),19.9,1.6,2.8
酸奶（全脂，盖瑞牌，全 脂风味发酵乳),14.6,3.1,2.5
酸奶(全脂，花园牌),11.3,1.6,2.8
酸奶（全脂，佳丽牌，益 家全脂风味发酵乳),13.8,2.9,3.1
酸奶（全脂，天润牌浓缩 酸奶，全脂风味发酵乳）,14.1,3.0,2.9
酸奶（全脂，西域春牌新 疆老酸奶，凝固型),15.1,3.1,2.6
"酸奶（低脂，艾美牌,草莓、 芒果、蓝莓、覆盆子、菠萝 味低脂风味发酵乳）",16.9,1.6,2.4
牛油 (板油),1.8,Tr,92.0
牛油 (炼),0.1,Tr,99.7
鸭油 (炼),0.0,Tr,99.7
羊油 (板油),8.0,Tr,88.0
羊油 (炼),0.9,Tr,99.0
猪油 (板油),7.2,Tr,88.7
猪油 (炼),0.2,Tr,99.6
大麦[元麦],,10.2,1.4 73.3
黑大麦,74.3,10.2,2.2
肚里黄,76.7,8.8,1.2
青稞,75.0,8.1,1.5
婴儿配方奶粉（超级能恩 乳蛋白部分水解婴幼儿配方 奶粉1段）,,26.0,59.9
婴儿配方奶粉（雅培金装 亲护乳蛋白部分水解婴儿配 方奶粉1阶段),1.1,27.5,54.9
鸭蛋,3.1,12.6,13.0
鸭蛋白,1.8,9.9,
鸭蛋黄,4.0,14.5,33.8
海鸭蛋,,12.7,13.8 16.9
松花蛋（鸭蛋）[皮蛋],,14.2,10.7 4.5
鸭蛋 (咸鸭蛋，生),,12.7,12.7 6.3
鸭蛋(咸鸭蛋，煮),0.0,13.8,13.5
猪肉（代表值，fat30g),0.0,15.1,30.1
猪肥肉（肥，fat 89g),0.0,2.4,88.6
猪肉 (后臀尖),0.0,14.6,30.8
猪肉 (后肘),0.0,17.0,28.0
猪肉 (肋条肉),0.0,9.3,59.0
猪肉(奶脯)软五花、猪夹心],0.0,7.7,35.3
猪肉（奶面）[硬五花］,2.2,13.6,30.6
猪肉 (前肘),2.9,17.3,22.9
猪肉(瘦，fat g),0.0,20.7,7.8
猪肉 (瘦),1.5,20.3,6.2
猪肉（fat 12g),0.2,19.0,11.7
猪肉(腿）,0.8,17.9,12.8
猪肉 (猪脖),0.0,8.0,60.5
猪大肠,0.0,6.9,18.7
猪大排,1.7,18.3,20.4
